                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2568,                 1.1474,                 1.2055,                0.90038,                0.91693,                0.91202,                0.55543,                 1.4443,                 1.0031,                 1.3566,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2182,                0.95868,                    1.2,                0.88279,                0.87332,                0.91636,                0.53007,                 1.5185,                 1.0873,                 1.3509,               0.004951,               0.004951,               0.004951
                    104,                 1.2338,                0.93445,                 1.1657,                0.88279,                0.87332,                0.91636,                0.53007,                 1.5185,                 1.0873,                 1.3509,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1711,                0.94893,                 1.1459,                0.93511,                0.84058,                 0.9258,                0.52887,                 1.4733,                  1.068,                 1.3827,               0.004852,               0.004852,               0.004852
                    106,                 1.4263,                 1.0817,                 1.1462,                0.93511,                0.84058,                 0.9258,                0.52887,                 1.4733,                  1.068,                 1.3827,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.3436,                0.97942,                 1.2807,                0.91172,                0.89809,                 0.9256,                   0.49,                 1.5955,                 1.0909,                 1.4789,               0.004753,               0.004753,               0.004753
                    108,                 1.3504,                0.91557,                 1.1232,                0.91172,                0.89809,                 0.9256,                   0.49,                 1.5955,                 1.0909,                 1.4789,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2001,                0.90871,                 1.1813,                0.87119,                0.88219,                0.91662,                0.51975,                 1.4672,                  1.066,                 1.3827,               0.004654,               0.004654,               0.004654
                    110,                 1.3704,                0.99613,                 1.3243,                0.87119,                0.88219,                0.91662,                0.51975,                 1.4672,                  1.066,                 1.3827,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.3532,                0.94412,                  1.106,                0.93729,                0.86652,                 0.9238,                0.50365,                 1.5102,                 1.0393,                 1.3786,               0.004555,               0.004555,               0.004555
                    112,                 1.2626,                 0.8397,                 1.1394,                0.93729,                0.86652,                 0.9238,                0.50365,                 1.5102,                 1.0393,                 1.3786,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2458,                0.94858,                 1.1334,                0.97146,                0.85507,                0.91638,                0.47791,                 1.5538,                 1.0618,                 1.4439,               0.004456,               0.004456,               0.004456
                    114,                 1.2478,                0.86153,                 1.1557,                0.97146,                0.85507,                0.91638,                0.47791,                 1.5538,                 1.0618,                 1.4439,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2543,                0.83762,                 1.0704,                0.97651,                0.89855,                0.93217,                0.49885,                 1.5763,                  1.047,                 1.4267,               0.004357,               0.004357,               0.004357
                    116,                 1.4641,                0.97668,                 1.2524,                0.97651,                0.89855,                0.93217,                0.49885,                 1.5763,                  1.047,                 1.4267,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.3304,                0.87059,                 1.2196,                      1,                0.89453,                0.93527,                0.50887,                 1.5321,                 1.0431,                 1.4147,               0.004258,               0.004258,               0.004258
                    118,                 1.2227,                0.86896,                 1.1327,                      1,                0.89453,                0.93527,                0.50887,                 1.5321,                 1.0431,                 1.4147,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1205,                 1.0619,                 1.1387,                0.95363,                0.89417,                0.91922,                 0.5121,                 1.5447,                  1.054,                 1.3999,               0.004159,               0.004159,               0.004159
                    120,                  1.347,                0.88898,                   1.08,                0.95363,                0.89417,                0.91922,                 0.5121,                 1.5447,                  1.054,                 1.3999,              0.0041095,              0.0041095,              0.0041095
